,business_id,stars,positive_count,negative_count,sentiment_score_%,keyword,group
3,0CHIbqSkGWBr2KMkIUocEA,3.5,51,2,96.22641509433964,drink,drink
4,0ac5lGA_0wdKDnib3y59Xg,4.0,48,2,96.0,drink,drink
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,7,0,100.0,drink,drink
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,8,0,100.0,drink,drink
7,1FURjeGJi_LBXcJQg8eskw,4.5,11,0,100.0,drink,drink
8,1xsBRB203LiYLcC3mktfdA,4.0,0,0,98.19277108433737,drink,drink
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,7,1,87.5,drink,drink
10,2l-spLLGUzRiZg8dF623Nw,4.0,12,1,92.3076923076923,drink,drink
11,2nk4hq2oRfym8ROQ5iS47g,4.5,42,2,95.45454545454544,drink,drink
12,3Wy21heeDm8h2tSZfcj6OA,4.5,60,4,93.75,drink,drink
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,5,1,83.33333333333333,drink,drink
14,4FdsX3MbkcdBRAr1aymF6A,4.5,8,0,100.0,drink,drink
15,4IqrY1mXK65HgrrgkpE-cw,4.5,11,0,100.0,drink,drink
16,4KAuy-zNBxD9QvnkldwEww,4.0,15,1,93.75,drink,drink
17,4kfbEcAMepvkjt3H7INYBg,4.5,131,1,99.24242424242424,drink,drink
18,4xhGQGdGqU60BIznBjqnuA,4.0,2,0,100.0,drink,drink
19,52ov7d0148JvYG78_c-Bsw,4.0,3,0,100.0,drink,drink
20,5bDjg02rlg6ODEUT-UQT-A,3.5,1,0,100.0,drink,drink
21,5uNCvNy9L6peKeKP1RRPyg,3.5,2,1,66.66666666666667,drink,drink
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,2,0,100.0,drink,drink
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,2,1,66.66666666666667,drink,drink
24,7yR4oQcapZBKCkRLB3Isig,2.5,15,0,100.0,drink,drink
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,1,0,100.0,drink,drink
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,23,0,100.0,drink,drink
27,9xW7LsJpyhVZFRb6z9xorg,4.0,0,0,100.0,drink,drink
28,A7Uwcr1BjasB6BWke1hrfA,5.0,1,0,100.0,drink,drink
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,14,0,100.0,drink,drink
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,19,1,95.0,drink,drink
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,0,0,100.0,drink,drink
32,DD3TxygdxBxKh9gbjCuLDA,4.5,2,0,100.0,drink,drink
33,DOfiulOub9hVPBCtiDl9Fw,4.0,6,3,66.66666666666667,drink,drink
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,7,0,100.0,drink,drink
35,DcRfabRzYkddMEUFyPMBgw,3.0,3,0,100.0,drink,drink
36,E6HHiJMCpTkjOsSly3kzeA,4.5,41,0,100.0,drink,drink
37,EZc2myE2mYk2h9JK9qu8gw,4.5,62,2,96.875,drink,drink
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,98,1,98.989898989899,drink,drink
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,4,0,100.0,drink,drink
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,3,1,75.0,drink,drink
41,FpNhzu3w0XgyedhOLDuK8g,4.5,25,0,100.0,drink,drink
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,5,0,100.0,drink,drink
43,H-1qpp_77KggOAr9htUrEw,4.0,22,0,100.0,drink,drink
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,48,3,94.11764705882354,drink,drink
45,HJ_rOClY2RPrdervYopKmQ,4.0,0,0,99.2248062015504,drink,drink
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,4,0,100.0,drink,drink
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,0,0,100.0,drink,drink
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,8,0,100.0,drink,drink
49,IljCDlZnTftfZEruqa4sRQ,4.0,3,0,100.0,drink,drink
50,KSYONgGtrK0nKXfroB-bwg,4.5,67,3,95.71428571428572,drink,drink
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,3,0,100.0,drink,drink
52,L9QTAucz_in5f-ufCrvb1Q,3.5,0,0,100.0,drink,drink
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,0,0,100.0,drink,drink
54,LtxG9DTXCFpteVkD4SGBlw,4.0,3,0,100.0,drink,drink
55,LuPK46HMxRYEVTXVbBCR1g,4.0,47,1,97.91666666666669,drink,drink
56,M2i4sAuljONUy-BSBonkzg,5.0,2,0,100.0,drink,drink
57,MAIfD4kJDCydgoD1l2b_vw,4.0,4,0,100.0,drink,drink
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,2,0,100.0,drink,drink
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,51,2,96.22641509433964,drink,drink
60,POSwCH5XrPTMRILJaNAjAQ,5.0,1,0,100.0,drink,drink
61,PPcz-0UtIJ8O7xDT551y2g,4.5,10,0,100.0,drink,drink
62,PgtqA056auCp5EbcZMbXPQ,3.5,0,0,92.45014245014245,drink,drink
63,QBNATcq7Stx9LxcSq16W7w,4.5,2,0,100.0,drink,drink
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,2,1,66.66666666666667,drink,drink
65,R93mEcQ1pjq7q3LzShi3ow,5.0,3,0,100.0,drink,drink
